// user:DESKTOP-0HM15HR_628165; date:2020-10-14 11:45:19.203; sample:3201; 
1632; 0.012; 0.0; 
1634; 0.01233; 0.0; 
1636; 0.01177; 0.0; 
1638; 0.01065; 0.0; 
1640; 0.01094; 0.0; 
1642; 0.01372; 0.0; 
1644; 0.01496; 0.0; 
1646; 0.0162; 0.0; 
1648; 0.01175; 0.0; 
1650; 0.01273; 0.0; 
1652; 0.01694; 0.0; 
1654; 0.00797; 0.0; 
1656; 0.00839; 0.0; 
1658; 0.00998; 0.0; 
1660; 0.0116; 0.0; 
1662; 0.01093; 0.0; 
1664; 0.00836; 0.0; 
1666; 0.00754; 0.0; 
1668; 0.0074; 0.0; 
1670; 0.00612; 0.0; 
1672; 0.00223; 0.0; 
1674; 0.00771; 0.0; 
1676; 0.01212; 0.0; 
1678; 0.01554; 0.0; 
1680; 0.0185; 0.0; 
1682; 0.0153; 0.0; 
1684; 0.01466; 0.0; 
1686; 0.01359; 0.0; 
1688; 0.01201; 0.0; 
1690; 0.01291; 0.0; 
1692; 0.01294; 0.0; 
1694; 0.01498; 0.0; 
1696; 0.01899; 0.0; 
1698; 0.02042; 0.0; 
1700; 0.01309; 0.0; 
1702; 0.01543; 0.0; 
1704; 0.00602; 0.0; 
1706; 0.00673; 0.0; 
1708; 0.00622; 0.0; 
1710; 0.00833; 0.0; 
1712; 0.00436; 0.0; 
1714; 0.01333; 0.0; 
1716; 0.01159; 0.0; 
1718; 0.00441; 0.0; 
1720; 0.00705; 0.0; 
1722; 0.00564; 0.0; 
1724; 0.00678; 0.0; 
1726; 0.00744; 0.0; 
1728; 0.00247; 0.0; 
1730; 0.00407; 0.0; 
1732; 0.00579; 0.0; 
1734; 0.00578; 0.0; 
1736; 0.00937; 0.0; 
1738; 0.00671; 0.0; 
1740; 0.00395; 0.0; 
1742; 0.00696; 0.0; 
1744; 0.01548; 0.0; 
1746; 0.01306; 0.0; 
1748; 0.00644; 0.0; 
1750; 0.00708; 0.0; 
1752; 0.00756; 0.0; 
1754; 0.00765; 0.0; 
1756; 0.01048; 0.0; 
1758; 0.00437; 0.0; 
1760; 0.00557; 0.0; 
1762; 0.00845; 0.0; 
1764; 0.0116; 0.0; 
1766; 0.01156; 0.0; 
1768; 0.01009; 0.0; 
1770; 0.01438; 0.0; 
1772; 0.01224; 0.0; 
1774; 0.00907; 0.0; 
1776; 0.0084; 0.0; 
1778; 0.01036; 0.0; 
1780; 0.01332; 0.0; 
1782; 0.01598; 0.0; 
1784; 0.00616; 0.0; 
1786; 0.01082; 0.0; 
1788; 0.01593; 0.0; 
1790; 0.01102; 0.0; 
1792; 0.00633; 0.0; 
1794; 0.00604; 0.0; 
1796; 0.00326; 0.0; 
1798; 0.00459; 0.0; 
1800; 0.0034; 0.0; 
1802; 0.0044; 0.0; 
1804; 0.00249; 0.0; 
1806; 0.0041; 0.0; 
1808; 0.00531; 0.0; 
1810; 0.00502; 0.0; 
1812; 0.00551; 0.0; 
1814; 0.00978; 0.0; 
1816; 0.00885; 0.0; 
1818; 0.0056; 0.0; 
1820; 0.00697; 0.0; 
1822; 0.00945; 0.0; 
1824; 0.00833; 0.0; 
1826; 0.01034; 0.0; 
1828; 0.01219; 0.0; 
1830; 0.01084; 0.0; 
1832; 0.00971; 0.0; 
1834; 0.01492; 0.0; 
1836; 0.01837; 0.0; 
1838; 0.01583; 0.0; 
1840; 0.00545; 0.0; 
1842; 0.00932; 0.0; 
1844; 0.0105; 0.0; 
1846; 0.00949; 0.0; 
1848; 0.01042; 0.0; 
1850; 0.01105; 0.0; 
1852; 0.00631; 0.0; 
1854; 0.01065; 0.0; 
1856; 0.01665; 0.0; 
1858; 0.0232; 0.0; 
1860; 0.01125; 0.0; 
1862; 0.01404; 0.0; 
1864; 0.00477; 0.0; 
1866; 0.01821; 0.0; 
1868; 0.02119; 0.0; 
1870; 0.01695; 0.0; 
1872; 0.01167; 0.0; 
1874; 0.02534; 0.0; 
1876; 0.03274; 0.0; 
1878; 0.01414; 0.0; 
1880; 0.01319; 0.0; 
1882; 0.00762; 0.0; 
1884; 0.0131; 0.0; 
1886; 0.0161; 0.0; 
1888; 0.01513; 0.0; 
1890; 0.01324; 0.0; 
1892; 0.01082; 0.0; 
1894; 0.02379; 0.0; 
1896; 0.02692; 0.0; 
1898; 0.0271; 0.0; 
1900; 0.02948; 0.0; 
1902; 0.01423; 0.0; 
1904; 0.00218; 0.0; 
1906; 0.0109; 0.0; 
1908; 0.00957; 0.0; 
1910; 0.00575; 0.0; 
1912; 0.00631; 0.0; 
1914; 0.01453; 0.0; 
1916; 0.01825; 0.0; 
1918; 0.01433; 0.0; 
1920; 0.01868; 0.0; 
1922; 0.02301; 0.0; 
1924; 0.01091; 0.0; 
1926; 0.00413; 0.0; 
1928; 0.00424; 0.0; 
1930; 0.00668; 0.0; 
1932; 0.00851; 0.0; 
1934; 0.00801; 0.0; 
1936; 0.00755; 0.0; 
1938; 0.00907; 0.0; 
1940; 0.01849; 0.0; 
1942; 0.03208; 0.0; 
1944; 0.02123; 0.0; 
1946; 0.00734; 0.0; 
1948; 0.01219; 0.0; 
1950; 0.01718; 0.0; 
1952; 0.01358; 0.0; 
1954; 0.00539; 0.0; 
1956; 0.00846; 0.0; 
1958; 0.01082; 0.0; 
1960; 0.02079; 0.0; 
1962; 0.02503; 0.0; 
1964; 0.02112; 0.0; 
1966; 0.0139; 0.0; 
1968; 0.02043; 0.0; 
1970; 0.02587; 0.0; 
1972; 0.03802; 0.0; 
1974; 0.03374; 0.0; 
1976; 0.02415; 0.0; 
1978; 0.01983; 0.0; 
1980; 0.01617; 0.0; 
1982; 0.01991; 0.0; 
1984; 0.01595; 0.0; 
1986; 0.01217; 0.0; 
1988; 0.0225; 108.37; 
1990; 0.0172; 0.0; 
1992; 0.01974; 0.0; 
1994; 0.02332; 0.0; 
1996; 0.00838; 0.0; 
1998; 0.02149; 0.0; 
2000; 0.02179; 0.0; 
2002; 0.01408; 0.0; 
2004; 0.01334; 0.0; 
2006; 0.0091; 0.0; 
2008; 0.01012; 0.0; 
2010; 0.01364; 0.0; 
2012; 0.01376; 0.0; 
2014; 0.00762; 0.0; 
2016; 0.00487; 0.0; 
2018; 0.01238; 0.0; 
2020; 0.0159; 0.0; 
2022; 0.00844; 0.0; 
2024; 0.00947; 0.0; 
2026; 0.00841; 0.0; 
2028; 0.00903; 0.0; 
2030; 0.00794; 0.0; 
2032; 0.00486; 0.0; 
2034; 0.00787; 0.0; 
2036; 0.0056; 0.0; 
2038; 0.00455; 0.0; 
2040; 0.00751; 0.0; 
2042; 0.00518; 0.0; 
2044; 0.00994; 0.0; 
2046; 0.01258; 0.0; 
2048; 0.01419; 0.0; 
2050; 0.02169; 0.0; 
2052; 0.01773; 0.0; 
2054; 0.01275; 0.0; 
2056; 0.00972; 0.0; 
2058; 0.00251; 0.0; 
2060; 0.01778; 0.0; 
2062; 0.01738; 0.0; 
2064; 0.0061; 0.0; 
2066; 0.00832; 0.0; 
2068; 0.014; 0.0; 
2070; 0.02849; 0.0; 
2072; 0.03545; 0.0; 
2074; 0.01428; 0.0; 
2076; 0.00555; 0.0; 
2078; 0.00928; 0.0; 
2080; 0.01285; 0.0; 
2082; 0.01223; 0.0; 
2084; 0.00659; 0.0; 
2086; 0.00357; 0.0; 
2088; 0.00245; 0.0; 
2090; 0.00506; 0.0; 
2092; 0.00738; 0.0; 
2094; 0.00899; 0.0; 
2096; 0.007; 0.0; 
2098; 0.00874; 0.0; 
2100; 0.01034; 0.0; 
2102; 0.00962; 0.0; 
2104; 0.01188; 0.0; 
2106; 0.0065; 0.0; 
2108; 0.00774; 0.0; 
2110; 0.01079; 0.0; 
2112; 0.00654; 0.0; 
2114; 0.01265; 0.0; 
2116; 0.00923; 0.0; 
2118; 0.01017; 0.0; 
2120; 0.0124; 0.0; 
2122; 0.01267; 0.0; 
2124; 0.0077; 0.0; 
2126; 0.00924; 0.0; 
2128; 0.00579; 0.0; 
2130; 0.01757; 0.0; 
2132; 0.01825; 0.0; 
2134; 0.00952; 0.0; 
2136; 0.00731; 0.0; 
2138; 0.01163; 0.0; 
2140; 0.01268; 0.0; 
2142; 0.01561; 0.0; 
2144; 0.02228; 0.0; 
2146; 0.01035; 0.0; 
2148; 0.02077; 0.0; 
2150; 0.02109; 0.0; 
2152; 0.01582; 0.0; 
2154; 0.03101; 0.0; 
2156; 0.03819; 0.0; 
2158; 0.04348; 0.0; 
2160; 0.02531; 0.0; 
2162; 0.01984; 0.0; 
2164; 0.01383; 0.0; 
2166; 0.02135; 0.0; 
2168; 0.02294; 0.0; 
2170; 0.02515; 0.0; 
2172; 0.0521; 0.0; 
2174; 0.04819; 0.0; 
2176; 0.02382; 0.0; 
2178; 0.03469; 0.0; 
2180; 0.04263; 0.0; 
2182; 0.03057; 0.0; 
2184; 0.01942; 0.0; 
2186; 0.01921; 0.0; 
2188; 0.02042; 0.0; 
2190; 0.01466; 0.0; 
2192; 0.00954; 0.0; 
2194; 0.01689; 0.0; 
2196; 0.01101; 0.0; 
2198; 0.01303; 0.0; 
2200; 0.01766; 0.0; 
2202; 0.02671; 0.0; 
2204; 0.02628; 0.0; 
2206; 0.01678; 0.0; 
2208; 0.02113; 0.0; 
2210; 0.02284; 0.0; 
2212; 0.01684; 0.0; 
2214; 0.0216; 0.0; 
2216; 0.01109; 0.0; 
2218; 0.01194; 0.0; 
2220; 0.01228; 0.0; 
2222; 0.01978; 0.0; 
2224; 0.0205; 0.0; 
2226; 0.01694; 0.0; 
2228; 0.0153; 0.0; 
2230; 0.01733; 0.0; 
2232; 0.01623; 0.0; 
2234; 0.02179; 0.0; 
2236; 0.02346; 0.0; 
2238; 0.02099; 0.0; 
2240; 0.02237; 0.0; 
2242; 0.02351; 0.0; 
2244; 0.01447; 0.0; 
2246; 0.00508; 0.0; 
2248; 0.01753; 0.0; 
2250; 0.03033; 0.0; 
2252; 0.03206; 0.0; 
2254; 0.02599; 0.0; 
2256; 0.02401; 0.0; 
2258; 0.00704; 0.0; 
2260; 0.03294; 0.0; 
2262; 0.04126; 0.0; 
2264; 0.03881; 0.0; 
2266; 0.04309; 0.0; 
2268; 0.03285; 0.0; 
2270; 0.02451; 0.0; 
2272; 0.02332; 0.0; 
2274; 0.02048; 0.0; 
2276; 0.02671; 0.0; 
2278; 0.02128; 0.0; 
2280; 0.02181; 0.0; 
2282; 0.01594; 0.0; 
2284; 0.01428; 0.0; 
2286; 0.02565; 0.0; 
2288; 0.04618; 0.0; 
2290; 0.04912; 0.0; 
2292; 0.06563; 0.0; 
2294; 0.07296; 0.0; 
2296; 0.05107; 0.0; 
2298; 0.03886; 0.0; 
2300; 0.03503; 0.0; 
2302; 0.01639; 0.0; 
2304; 0.02096; 0.0; 
2306; 0.01599; 0.0; 
2308; 0.03287; 0.0; 
2310; 0.03214; 0.0; 
2312; 0.00606; 0.0; 
2314; 0.04736; 0.0; 
2316; 0.0618; 0.0; 
2318; 0.02374; 0.0; 
2320; 0.06714; 0.0; 
2322; 0.05058; 0.0; 
2324; 0.02448; 0.0; 
2326; 0.03191; 0.0; 
2328; 0.0508; 0.0; 
2330; 0.05909; 0.0; 
2332; 0.05831; 0.0; 
2334; 0.05979; 0.0; 
2336; 0.0488; 0.0; 
2338; 0.02243; 0.0; 
2340; 0.05436; 0.0; 
2342; 0.03768; 0.0; 
2344; 0.0304; 0.0; 
2346; 0.05147; 0.0; 
2348; 0.05147; 0.0; 
2350; 0.02255; 0.0; 
2352; 0.02929; 0.0; 
2354; 0.03661; 0.0; 
2356; 0.01981; 0.0; 
2358; 0.02068; 0.0; 
2360; 0.03297; 0.0; 
2362; 0.04809; 0.0; 
2364; 0.01491; 0.0; 
2366; 0.03321; 0.0; 
2368; 0.02973; 0.0; 
2370; 0.02538; 0.0; 
2372; 0.05368; 0.0; 
2374; 0.07434; 0.0; 
2376; 0.03586; 0.0; 
2378; 0.04182; 0.0; 
2380; 0.03982; 0.0; 
2382; 0.03333; 0.0; 
2384; 0.01884; 0.0; 
2386; 0.01888; 0.0; 
2388; 0.01929; 0.0; 
2390; 0.01821; 0.0; 
2392; 0.02399; 0.0; 
2394; 0.03501; 0.0; 
2396; 0.04792; 0.0; 
2398; 0.0432; 0.0; 
2400; 0.03266; 0.0; 
2402; 0.02899; 0.0; 
2404; 0.05011; 0.0; 
2406; 0.0373; 0.0; 
2408; 0.04432; 0.0; 
2410; 0.04448; 0.0; 
2412; 0.02444; 0.0; 
2414; 0.03065; 0.0; 
2416; 0.02197; 0.0; 
2418; 0.01186; 0.0; 
2420; 0.04712; 0.0; 
2422; 0.06229; 0.0; 
2424; 0.02673; 0.0; 
2426; 0.04418; 0.0; 
2428; 0.03223; 0.0; 
2430; 0.03147; 0.0; 
2432; 0.03124; 0.0; 
2434; 0.02777; 0.0; 
2436; 0.03191; 0.0; 
2438; 0.02527; 0.0; 
2440; 0.03939; 0.0; 
2442; 0.04331; 0.0; 
2444; 0.03009; 0.0; 
2446; 0.0337; 0.0; 
2448; 0.03195; 0.0; 
2450; 0.02485; 0.0; 
2452; 0.0176; 0.0; 
2454; 0.01175; 0.0; 
2456; 0.01746; 0.0; 
2458; 0.00476; 0.0; 
2460; 0.01674; 0.0; 
2462; 0.01137; 0.0; 
2464; 0.02374; 0.0; 
2466; 0.03319; 0.0; 
2468; 0.02882; 0.0; 
2470; 0.01414; 0.0; 
2472; 0.04377; 0.0; 
2474; 0.02174; 0.0; 
2476; 0.023; 0.0; 
2478; 0.02556; 0.0; 
2480; 0.02248; 0.0; 
2482; 0.01701; 0.0; 
2484; 0.02888; 0.0; 
2486; 0.04339; 0.0; 
2488; 0.04911; 0.0; 
2490; 0.0313; 0.0; 
2492; 0.02562; 0.0; 
2494; 0.03955; 0.0; 
2496; 0.03652; 0.0; 
2498; 0.02331; 0.0; 
2500; 0.01562; 0.0; 
2502; 0.02919; 0.0; 
2504; 0.04485; 0.0; 
2506; 0.05418; 0.0; 
2508; 0.05364; 0.0; 
2510; 0.04362; 0.0; 
2512; 0.04166; 0.0; 
2514; 0.02951; 0.0; 
2516; 0.00684; 0.0; 
2518; 0.01655; 0.0; 
2520; 0.01135; 0.0; 
2522; 0.01308; 0.0; 
2524; 0.01603; 0.0; 
2526; 0.01519; 0.0; 
2528; 0.0194; 0.0; 
2530; 0.02053; 0.0; 
2532; 0.01542; 0.0; 
2534; 0.00843; 0.0; 
2536; 0.00791; 0.0; 
2538; 0.01743; 0.0; 
2540; 0.01747; 0.0; 
2542; 0.03089; 0.0; 
2544; 0.03828; 0.0; 
2546; 0.01999; 0.0; 
2548; 0.02109; 0.0; 
2550; 0.01585; 0.0; 
2552; 0.00951; 0.0; 
2554; 0.02769; 0.0; 
2556; 0.01943; 0.0; 
2558; 0.00994; 0.0; 
2560; 0.01846; 0.0; 
2562; 0.01447; 0.0; 
2564; 0.01576; 0.0; 
2566; 0.01946; 0.0; 
2568; 0.01847; 0.0; 
2570; 0.01538; 0.0; 
2572; 0.00588; 0.0; 
2574; 0.00899; 0.0; 
2576; 0.01897; 0.0; 
2578; 0.0153; 0.0; 
2580; 0.00927; 0.0; 
2582; 0.01367; 0.0; 
2584; 0.03933; 0.0; 
2586; 0.07493; 0.0; 
2588; 0.05476; 0.0; 
2590; 0.02361; 0.0; 
2592; 0.01629; 0.0; 
2594; 0.02338; 0.0; 
2596; 0.03314; 0.0; 
2598; 0.02403; 0.0; 
2600; 0.01122; 0.0; 
2602; 0.00968; 0.0; 
2604; 0.01031; 0.0; 
2606; 0.01234; 0.0; 
2608; 0.0126; 0.0; 
2610; 0.01642; 0.0; 
2612; 0.01018; 0.0; 
2614; 0.00697; 0.0; 
2616; 0.01059; 0.0; 
2618; 0.01387; 0.0; 
2620; 0.01859; 0.0; 
2622; 0.01739; 0.0; 
2624; 0.01062; 0.0; 
2626; 0.01028; 0.0; 
2628; 0.01913; 0.0; 
2630; 0.0167; 0.0; 
2632; 0.00508; 0.0; 
2634; 0.00841; 0.0; 
2636; 0.00972; 0.0; 
2638; 0.01116; 0.0; 
2640; 0.01207; 0.0; 
2642; 0.01085; 0.0; 
2644; 0.00865; 0.0; 
2646; 0.02507; 0.0; 
2648; 0.02346; 0.0; 
2650; 0.02399; 0.0; 
2652; 0.03323; 0.0; 
2654; 0.02112; 0.0; 
2656; 0.01127; 0.0; 
2658; 0.01193; 0.0; 
2660; 0.01668; 0.0; 
2662; 0.0117; 0.0; 
2664; 0.01054; 0.0; 
2666; 0.01843; 0.0; 
2668; 0.022; 0.0; 
2670; 0.01637; 0.0; 
2672; 0.02781; 0.0; 
2674; 0.02706; 0.0; 
2676; 0.01854; 0.0; 
2678; 0.01386; 0.0; 
2680; 0.01365; 0.0; 
2682; 0.01474; 0.0; 
2684; 0.01069; 0.0; 
2686; 0.00778; 0.0; 
2688; 0.00448; 0.0; 
2690; 0.00802; 0.0; 
2692; 0.00559; 0.0; 
2694; 0.01135; 0.0; 
2696; 0.01483; 0.0; 
2698; 0.01458; 0.0; 
2700; 0.01423; 0.0; 
2702; 0.01303; 0.0; 
2704; 0.01149; 0.0; 
2706; 0.00319; 0.0; 
2708; 0.00923; 0.0; 
2710; 0.01671; 0.0; 
2712; 0.00885; 0.0; 
2714; 0.00987; 0.0; 
2716; 0.01359; 0.0; 
2718; 0.00593; 0.0; 
2720; 0.00732; 0.0; 
2722; 0.01373; 0.0; 
2724; 0.01681; 0.0; 
2726; 0.01476; 0.0; 
2728; 0.00735; 0.0; 
2730; 0.01905; 0.0; 
2732; 0.01679; 0.0; 
2734; 0.01308; 0.0; 
2736; 0.0128; 0.0; 
2738; 0.01488; 0.0; 
2740; 0.01264; 0.0; 
2742; 0.01598; 0.0; 
2744; 0.01391; 0.0; 
2746; 0.00652; 0.0; 
2748; 0.01052; 0.0; 
2750; 0.01263; 0.0; 
2752; 0.02216; 0.0; 
2754; 0.01255; 0.0; 
2756; 0.01518; 0.0; 
2758; 0.01793; 0.0; 
2760; 0.01468; 0.0; 
2762; 0.0193; 0.0; 
2764; 0.0149; 0.0; 
2766; 0.01395; 0.0; 
2768; 0.01542; 0.0; 
2770; 0.01494; 0.0; 
2772; 0.02106; 0.0; 
2774; 0.03221; 0.0; 
2776; 0.01848; 0.0; 
2778; 0.01401; 0.0; 
2780; 0.01782; 0.0; 
2782; 0.01556; 0.0; 
2784; 0.01059; 0.0; 
2786; 0.01946; 0.0; 
2788; 0.02713; 0.0; 
2790; 0.02384; 0.0; 
2792; 0.02697; 0.0; 
2794; 0.03936; 0.0; 
2796; 0.01423; 0.0; 
2798; 0.01622; 0.0; 
2800; 0.02272; 0.0; 
2802; 0.0268; 0.0; 
2804; 0.03051; 0.0; 
2806; 0.02692; 0.0; 
2808; 0.01325; 0.0; 
2810; 0.03143; 0.0; 
2812; 0.02715; 0.0; 
2814; 0.02514; 0.0; 
2816; 0.02566; 0.0; 
2818; 0.01686; 0.0; 
2820; 0.0296; 0.0; 
2822; 0.02993; 0.0; 
2824; 0.01725; 0.0; 
2826; 0.00751; 0.0; 
2828; 0.01312; 0.0; 
2830; 0.01425; 0.0; 
2832; 0.01591; 0.0; 
2834; 0.00839; 0.0; 
2836; 0.0508; 0.0; 
2838; 0.05036; 0.0; 
2840; 0.0255; 0.0; 
2842; 0.02354; 0.0; 
2844; 0.02518; 0.0; 
2846; 0.01976; 0.0; 
2848; 0.02751; 0.0; 
2850; 0.02414; 0.0; 
2852; 0.01699; 0.0; 
2854; 0.01793; 0.0; 
2856; 0.00642; 0.0; 
2858; 0.01828; 0.0; 
2860; 0.02846; 0.0; 
2862; 0.0249; 0.0; 
2864; 0.02046; 0.0; 
2866; 0.01455; 0.0; 
2868; 0.01145; 0.0; 
2870; 0.00579; 0.0; 
2872; 0.01833; 0.0; 
2874; 0.02572; 0.0; 
2876; 0.01312; 0.0; 
2878; 0.02661; 0.0; 
2880; 0.02085; 0.0; 
2882; 0.01418; 0.0; 
2884; 0.02207; 0.0; 
2886; 0.02449; 0.0; 
2888; 0.02703; 0.0; 
2890; 0.02546; 0.0; 
2892; 0.01041; 0.0; 
2894; 0.01257; 0.0; 
2896; 0.01665; 0.0; 
2898; 0.01209; 0.0; 
2900; 0.01287; 0.0; 
2902; 0.02221; 0.0; 
2904; 0.02322; 0.0; 
2906; 0.01625; 0.0; 
2908; 0.01887; 0.0; 
2910; 0.02361; 0.0; 
2912; 0.00774; 0.0; 
2914; 0.01404; 0.0; 
2916; 0.01816; 0.0; 
2918; 0.00998; 0.0; 
2920; 0.01571; 0.0; 
2922; 0.01115; 0.0; 
2924; 0.01348; 0.0; 
2926; 0.01559; 0.0; 
2928; 0.01303; 0.0; 
2930; 0.01321; 0.0; 
2932; 0.01245; 0.0; 
2934; 0.01862; 0.0; 
2936; 0.01967; 0.0; 
2938; 0.02512; 0.0; 
2940; 0.02681; 0.0; 
2942; 0.0237; 0.0; 
2944; 0.01778; 0.0; 
2946; 0.01495; 0.0; 
2948; 0.00379; 0.0; 
2950; 0.01368; 0.0; 
2952; 0.0116; 0.0; 
2954; 0.00764; 0.0; 
2956; 0.01407; 0.0; 
2958; 0.01279; 0.0; 
2960; 0.01863; 0.0; 
2962; 0.01177; 0.0; 
2964; 0.00482; 0.0; 
2966; 0.00502; 0.0; 
2968; 0.00588; 0.0; 
2970; 0.00584; 0.0; 
2972; 0.0106; 0.0; 
2974; 0.01045; 0.0; 
2976; 0.00712; 0.0; 
2978; 0.01055; 0.0; 
2980; 0.00637; 0.0; 
2982; 0.00692; 0.0; 
2984; 0.01243; 0.0; 
2986; 0.01374; 0.0; 
2988; 0.01696; 0.0; 
2990; 0.01691; 0.0; 
2992; 0.01572; 0.0; 
2994; 0.01468; 0.0; 
2996; 0.01284; 0.0; 
2998; 0.01124; 0.0; 
3000; 0.01816; 0.0; 
3002; 0.02112; 0.0; 
3004; 0.01755; 0.0; 
3006; 0.01052; 0.0; 
3008; 0.00804; 0.0; 
3010; 0.01372; 0.0; 
3012; 0.01165; 0.0; 
3014; 0.00498; 0.0; 
3016; 0.01507; 0.0; 
3018; 0.01186; 0.0; 
3020; 0.01731; 0.0; 
3022; 0.01599; 0.0; 
3024; 0.0087; 0.0; 
3026; 0.01459; 0.0; 
3028; 0.00687; 0.0; 
3030; 0.00589; 0.0; 
3032; 0.00825; 0.0; 
3034; 0.0063; 0.0; 
3036; 0.007; 0.0; 
3038; 0.01218; 0.0; 
3040; 0.00657; 0.0; 
3042; 0.01919; 0.0; 
3044; 0.03036; 0.0; 
3046; 0.02201; 0.0; 
3048; 0.00615; 0.0; 
3050; 0.00374; 0.0; 
3052; 0.0042; 0.0; 
3054; 0.00766; 0.0; 
3056; 0.01081; 0.0; 
3058; 0.01229; 0.0; 
3060; 0.00752; 0.0; 
3062; 0.00601; 0.0; 
3064; 0.01313; 0.0; 
3066; 0.01192; 0.0; 
3068; 0.00514; 0.0; 
3070; 0.00834; 0.0; 
3072; 0.00352; 0.0; 
3074; 0.00907; 0.0; 
3076; 0.00909; 0.0; 
3078; 0.00823; 0.0; 
3080; 0.0097; 0.0; 
3082; 0.00895; 0.0; 
3084; 0.00752; 0.0; 
3086; 0.01488; 0.0; 
3088; 0.01453; 0.0; 
3090; 0.0087; 0.0; 
3092; 0.00556; 0.0; 
3094; 0.00895; 0.0; 
3096; 0.01077; 0.0; 
3098; 0.01173; 0.0; 
3100; 0.01281; 0.0; 
3102; 0.01103; 0.0; 
3104; 0.00747; 0.0; 
3106; 0.00442; 0.0; 
3108; 0.00887; 0.0; 
3110; 0.00593; 0.0; 
3112; 0.00384; 0.0; 
3114; 0.01135; 0.0; 
3116; 0.01174; 0.0; 
3118; 0.00944; 0.0; 
3120; 0.00814; 0.0; 
3122; 0.00624; 0.0; 
3124; 0.00215; 0.0; 
3126; 0.01126; 0.0; 
3128; 0.00949; 0.0; 
3130; 0.0044; 0.0; 
3132; 0.00698; 0.0; 
3134; 0.00911; 0.0; 
3136; 0.00712; 0.0; 
3138; 0.00733; 0.0; 
3140; 0.01025; 0.0; 
3142; 0.01046; 0.0; 
3144; 0.00756; 0.0; 
3146; 0.00739; 0.0; 
3148; 0.00851; 0.0; 
3150; 0.00806; 0.0; 
3152; 0.01372; 0.0; 
3154; 0.01119; 0.0; 
3156; 0.00905; 0.0; 
3158; 0.00928; 0.0; 
3160; 0.00726; 0.0; 
3162; 0.00702; 0.0; 
3164; 0.00788; 0.0; 
3166; 0.01091; 0.0; 
3168; 0.01268; 0.0; 
3170; 0.01189; 0.0; 
3172; 0.00822; 0.0; 
3174; 0.00502; 0.0; 
3176; 0.00634; 0.0; 
3178; 0.00879; 0.0; 
3180; 0.00839; 0.0; 
3182; 0.01204; 0.0; 
3184; 0.01526; 0.0; 
3186; 0.00738; 0.0; 
3188; 0.00529; 0.0; 
3190; 0.00686; 0.0; 
3192; 0.00502; 0.0; 
3194; 0.00517; 0.0; 
3196; 0.00591; 0.0; 
3198; 0.00867; 0.0; 
3200; 0.00951; 0.0; 
3202; 0.01064; 0.0; 
3204; 0.0088; 0.0; 
3206; 0.00823; 0.0; 
3208; 0.0078; 0.0; 
3210; 0.02159; 0.0; 
3212; 0.02952; 0.0; 
3214; 0.01077; 0.0; 
3216; 0.00656; 0.0; 
3218; 0.00451; 0.0; 
